Name;Sex;Age;Height;Weight;Team;Year;Sport
Alioune Camara;F;40;165;57;Greece;2016;Sailing
Erkki Emil Marttinen;F;40;173;75;Great Britain;2016;Equestrianism
Esko Oiva Marttinen;F;40;173;75;Great Britain;2016;Equestrianism
Mohamed Alhousseini Alhassan;F;40;162;57;Hungary;2016;Fencing
Viktor Nikolayevich Lebedev;F;40;183;78;Great Britain;2016;Rowing
Abel Antn Rodrigo;M;40;178;85;Serbia;2016;Table Tennis
Aleksey Petrovich Bondarenko;M;40;180;80;Denmark;2016;Equestrianism
Artur Hjalmar Slve Svensson;M;40;175;59;Portugal;2016;Athletics
Boris Nikolayevich Arsenyev;M;40;182;88;Russia;2016;Shooting
Colin Herbert Bain Finlayson;M;40;181;72;Brazil;2016;Sailing
Eva Pawlik (-Seeliger);M;40;188;86;Sweden;2016;Golf
Frans Albert Hjalmar Vre;M;40;177;70;France;2016;Equestrianism
Gerardo (Gerhard-) Bnnhoff Koch;M;40;180;80;Denmark;2016;Equestrianism
Gza Varasdi;M;40;177;70;France;2016;Equestrianism
Jessica Margareta Enstrm;M;40;180;75;United States;2016;Sailing
Lenva;M;40;184;90;Slovakia;2016;Shooting
Niels Otto Mller;M;40;175;67;Iran;2016;Cycling
Paul Joseph Thomas Svehlik;M;40;175;59;Portugal;2016;Athletics
Peter Augustus Rull, Sr.;M;40;201;95;United States-2;2016;Beach Volleyball
Renate Roider;M;40;172;62;Belarus;2016;Athletics
Sarce Aronggear;M;40;175;80;Russia;2016;Shooting
Shawn Joseph Rojeski;M;40;186;110;Belarus;2016;Athletics
Vyacheslav Mozhayev;M;40;175;67;Iran;2016;Cycling
Yuka Sato;M;40;180;77;Saint Kitts and Nevis;2016;Athletics
Yun Cheol;M;40;180;77;Saint Kitts and Nevis;2016;Athletics
"Edward Ian ""Eddie"" Gray";F;41;162;43;France;2016;Athletics
Rosie Pamela Fortna;F;41;172;68;Brazil;2016;Water Polo
Stvy Guevane Nzamb;F;41;168;62;France;2016;Golf
Andrew Whitford;M;41;183;95;United States;2016;Shooting
Craig Dallas Greenwood;M;41;189;80;Germany;2016;Equestrianism
"Deborah ""Debbie"" Greene";M;41;189;80;Germany;2016;Equestrianism
Jamie Annette Dantzscher;M;41;186;86;Egypt;2016;Volleyball
Jarrion Lawson;M;41;190;93;Czech Republic;2016;Shooting
Keltie Mayken Duggan (-Graboski);M;41;173;58;United States;2016;Athletics
Leonardo Pettinari;M;41;175;75;Vietnam;2016;Shooting
