ID;Name;Sex;Age;Height;Weight;Team;NOC;Games;Year;Season;City;Sport;Event
111603;Alioune Camara;F;40;165;57;Greece;GRE;2016 Summer;2016;Summer;Rio de Janeiro;Sailing;Sailing Women's Windsurfer
11448;Erkki Emil Marttinen;F;40;173;75;Great Britain;GBR;2016 Summer;2016;Summer;Rio de Janeiro;Equestrianism;Equestrianism Mixed Dressage, Individual
11448;Esko Oiva Marttinen;F;40;173;75;Great Britain;GBR;2016 Summer;2016;Summer;Rio de Janeiro;Equestrianism;Equestrianism Mixed Dressage, Team
80887;Mohamed Alhousseini Alhassan;F;40;162;57;Hungary;HUN;2016 Summer;2016;Summer;Rio de Janeiro;Fencing;Fencing Women's Foil, Individual
42312;Viktor Nikolayevich Lebedev;F;40;183;78;Great Britain;GBR;2016 Summer;2016;Summer;Rio de Janeiro;Rowing;Rowing Women's Double Sculls
57438;Abel Antn Rodrigo;M;40;178;85;Serbia;SRB;2016 Summer;2016;Summer;Rio de Janeiro;Table Tennis;Table Tennis Men's Singles
24831;Aleksey Petrovich Bondarenko;M;40;180;80;Denmark;DEN;2016 Summer;2016;Summer;Rio de Janeiro;Equestrianism;Equestrianism Mixed Dressage, Individual
126427;Artur Hjalmar Slve Svensson;M;40;175;59;Portugal;POR;2016 Summer;2016;Summer;Rio de Janeiro;Athletics;Athletics Men's 50 kilometres Walk
61263;Boris Nikolayevich Arsenyev;M;40;182;88;Russia;RUS;2016 Summer;2016;Summer;Rio de Janeiro;Shooting;Shooting Men's Rapid-Fire Pistol, 25 metres
11039;Colin Herbert Bain Finlayson;M;40;181;72;Brazil;BRA;2016 Summer;2016;Summer;Rio de Janeiro;Sailing;Sailing Men's Two Person Dinghy
114934;Eva Pawlik (-Seeliger);M;40;188;86;Sweden;SWE;2016 Summer;2016;Summer;Rio de Janeiro;Golf;Golf Men's Individual
65878;Frans Albert Hjalmar Vre;M;40;177;70;France;FRA;2016 Summer;2016;Summer;Rio de Janeiro;Equestrianism;Equestrianism Mixed Three-Day Event, Team
24831;Gerardo (Gerhard-) Bnnhoff Koch;M;40;180;80;Denmark;DEN;2016 Summer;2016;Summer;Rio de Janeiro;Equestrianism;Equestrianism Mixed Dressage, Team
65878;Gza Varasdi;M;40;177;70;France;FRA;2016 Summer;2016;Summer;Rio de Janeiro;Equestrianism;Equestrianism Mixed Three-Day Event, Individual
43786;Jessica Margareta Enstrm;M;40;180;75;United States;USA;2016 Summer;2016;Summer;Rio de Janeiro;Sailing;Sailing Mixed Multihull
125249;Lenva;M;40;184;90;Slovakia;SVK;2016 Summer;2016;Summer;Rio de Janeiro;Shooting;Shooting Men's Trap
80625;Niels Otto Mller;M;40;175;67;Iran;IRI;2016 Summer;2016;Summer;Rio de Janeiro;Cycling;Cycling Men's Individual Time Trial
126427;Paul Joseph Thomas Svehlik;M;40;175;59;Portugal;POR;2016 Summer;2016;Summer;Rio de Janeiro;Athletics;Athletics Men's 20 kilometres Walk
40132;Peter Augustus Rull, Sr.;M;40;201;95;United States-2;USA;2016 Summer;2016;Summer;Rio de Janeiro;Beach Volleyball;Beach Volleyball Men's Beach Volleyball
122068;Renate Roider;M;40;172;62;Belarus;BLR;2016 Summer;2016;Summer;Rio de Janeiro;Athletics;Athletics Men's 50 kilometres Walk
2755;Sarce Aronggear;M;40;175;80;Russia;RUS;2016 Summer;2016;Summer;Rio de Janeiro;Shooting;Shooting Men's Trap
120312;Shawn Joseph Rojeski;M;40;186;110;Belarus;BLR;2016 Summer;2016;Summer;Rio de Janeiro;Athletics;Athletics Men's Hammer Throw
80625;Vyacheslav Mozhayev;M;40;175;67;Iran;IRI;2016 Summer;2016;Summer;Rio de Janeiro;Cycling;Cycling Men's Road Race, Individual
22468;Yuka Sato;M;40;180;77;Saint Kitts and Nevis;SKN;2016 Summer;2016;Summer;Rio de Janeiro;Athletics;Athletics Men's 100 metres
22468;Yun Cheol;M;40;180;77;Saint Kitts and Nevis;SKN;2016 Summer;2016;Summer;Rio de Janeiro;Athletics;Athletics Men's 4 x 100 metres Relay
25509;"Edward Ian ""Eddie"" Gray";F;41;162;43;France;FRA;2016 Summer;2016;Summer;Rio de Janeiro;Athletics;Athletics Women's Marathon
92706;Rosie Pamela Fortna;F;41;172;68;Brazil;BRA;2016 Summer;2016;Summer;Rio de Janeiro;Water Polo;Water Polo Women's Water Polo
86701;Stvy Guevane Nzamb;F;41;168;62;France;FRA;2016 Summer;2016;Summer;Rio de Janeiro;Golf;Golf Women's Individual
105334;Andrew Whitford;M;41;183;95;United States;USA;2016 Summer;2016;Summer;Rio de Janeiro;Shooting;Shooting Men's Rapid-Fire Pistol, 25 metres
1356;Craig Dallas Greenwood;M;41;189;80;Germany;GER;2016 Summer;2016;Summer;Rio de Janeiro;Equestrianism;Equestrianism Mixed Jumping, Team
1356;"Deborah ""Debbie"" Greene";M;41;189;80;Germany;GER;2016 Summer;2016;Summer;Rio de Janeiro;Equestrianism;Equestrianism Mixed Jumping, Individual
471;Jamie Annette Dantzscher;M;41;186;86;Egypt;EGY;2016 Summer;2016;Summer;Rio de Janeiro;Volleyball;Volleyball Men's Volleyball
63091;Jarrion Lawson;M;41;190;93;Czech Republic;CZE;2016 Summer;2016;Summer;Rio de Janeiro;Shooting;Shooting Men's Trap
65854;Keltie Mayken Duggan (-Graboski);M;41;173;58;United States;USA;2016 Summer;2016;Summer;Rio de Janeiro;Athletics;Athletics Men's 5,000 metres
48966;Leonardo Pettinari;M;41;175;75;Vietnam;VIE;2016 Summer;2016;Summer;Rio de Janeiro;Shooting;Shooting Men's Free Pistol, 50 metres
52053;Michael O'Brien;M;41;184;75;Hungary;HUN;2016 Summer;2016;Summer;Rio de Janeiro;Fencing;Fencing Men's epee, Individual
1244;Mikhail Mikhaylovoch Maksimochkin;M;41;170;72;Chile;CHI;2016 Summer;2016;Summer;Rio de Janeiro;Golf;Golf Men's Individual
48966;Ronald Erik Pettersson;M;41;175;75;Vietnam;VIE;2016 Summer;2016;Summer;Rio de Janeiro;Shooting;Shooting Men's Air Pistol, 10 metres
52053;Shaun William O'Brien;M;41;184;75;Hungary;HUN;2016 Summer;2016;Summer;Rio de Janeiro;Fencing;Fencing Men's epee, Team
